title,description,source,course_id,department,department_codes,topics,url,level,old_domain_single,unified_domain
Women in South Asia from 1800 to Present,"This course is designed to introduce and help students understand the changes and continuities in the lives of women in South Asia from a historical perspective. Using gender as a lens of examining the past, we will examine how politics of race, class, caste and religion affected and continue to impact women in South Asian countries, primarily in India, Pakistan, Bangladesh and Sri Lanka. We will reflect upon current debates within South Asian women's history in order to examine some of the issues and problems that arise in re-writing the past from a gendered perspective and these are found in primary documents, secondary readings, films, newspaper articles, and the Internet.",mit_ocw,ec4bce58ffce526376f190d73ba344ec+21H.575J,History,"[""21H"", ""WGS""]","[""Asian Studies"", ""History"", ""Humanities"", ""Asian History"", ""Women's Studies"", ""Gender Studies"", ""Social Anthropology"", ""Social Science"", ""Society"", ""Anthropology""]",http://ocw.mit.edu/courses/history/21h-575j-women-in-south-asia-from-1800-to-present-fall-2006,Undergraduate,,
Organizational Economics,"This course in organizational economics prepares doctoral students for further study in the field. The course introduces the classic papers and some recent research. The material is organized into the following modules: boundaries of the firm, employment in organizations, decision-making in organizations, and structures and processes in organizations. Each class session covers a few leading papers. This course was joint-taught between faculty of the Massachusetts Institute of Technology and Harvard University. The Harvard course is _Economics 2670 Organizational Economics_.",mit_ocw,b54e290f822d9cb51c0a752f3c5d0a64+14.282,Economics,"[""14""]","[""Business"", ""Industrial Organization"", ""Economics"", ""Social Science"", ""Organizational Behavior"", ""Microeconomics""]",http://ocw.mit.edu/courses/economics/14-282-organizational-economics-spring-2009,Graduate,business,
String Theory and Holographic Duality,"This string theory course focuses on holographic duality (also known as gauge / gravity duality or AdS / CFT) as a novel method of approaching and connecting a range of diverse subjects, including quantum gravity / black holes, QCD at extreme conditions, exotic condensed matter systems, and quantum information.",mit_ocw,b980a8d499a5280f0204ed609fdeffd9+8.821,Physics,"[""8""]","[""Particle Physics"", ""Science"", ""Theoretical Physics"", ""Physics"", ""Quantum Mechanics""]",http://ocw.mit.edu/courses/physics/8-821-string-theory-and-holographic-duality-fall-2014,Graduate,,
Political Economy and Economic Development,"This course explores the relationship between political institutions and economic development, covering key theoretical issues as well as recent empirical evidence. Topics include corruption, democracy, dictatorship, and war. Discusses not just what we know on these topics, but how we know it, covering how to craft a good empirical study or field experiment and how to discriminate between reliable and unreliable evidence. **MITx Online Version** This course is part of the Micromaster's Program in Data, Economics, and Design of Policy through MITx Online. The course is entirely free to audit, though learners have the option to pay a fee, which is based on the learner's ability to pay, to take the proctored exam, and earn a course certificate. To access the course, create an MITx Online account and enroll in the course {{% resource_link ""9c2debff-71f5-4097-800d-bb815b77b084"" ""14.750x Political Economy and Economic Development"" %}}.",mit_ocw,e0cd3e584fedb93e13ce7edf8b5b6b55+14.75,Economics,"[""14""]","[""Social Science"", ""Economics"", ""Political Economy"", ""Developmental Economics""]",http://ocw.mit.edu/courses/economics/14-75-political-economy-and-economic-development-fall-2012,Undergraduate,business,
Computer Algorithms in Systems Engineering,"This course covers concepts of computation used in analysis of engineering systems. It includes the following topics: data structures, relational database representations of engineering data, algorithms for the solution and optimization of engineering system designs (greedy, dynamic programming, branch and bound, graph algorithms, nonlinear optimization), and introduction to complexity analysis. Object-oriented, efficient implementations of algorithms are emphasized.",mit_ocw,8571800a860ecd612bf12872d5a6ef58+1.204,Civil And Environmental Engineering,"[""1""]","[""Algorithms and Data Structures"", ""Systems Engineering"", ""Computer Science"", ""Engineering""]",http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-204-computer-algorithms-in-systems-engineering-spring-2010,Graduate,computer_science,computer_science
Introduction to Lie Groups,"This course is devoted to the theory of Lie Groups with emphasis on its connections with Differential Geometry. The text for this class is {{% resource_link ""a2543f4c-48f4-43bc-b9d7-9540ac6af101"" ""_Differential Geometry, Lie Groups and Symmetric Spaces_"" %}} by Sigurdur Helgason (American Mathematical Society, 2001). Much of the course material is based on Chapter I (first half) and Chapter II of the text. The text however develops basic Riemannian Geometry, Complex Manifolds, as well as a detailed theory of Semisimple Lie Groups and Symmetric Spaces.",mit_ocw,ea6d32d128694ae658a3c975dba2f217+18.755,Mathematics,"[""18""]","[""Differential Equations"", ""Algebra and Number Theory"", ""Topology and Geometry"", ""Mathematics""]",http://ocw.mit.edu/courses/mathematics/18-755-introduction-to-lie-groups-fall-2004,Graduate,,
Physics Demonstration Videos,"The Technical Services Group at MIT's Department of Physics provides technical and teaching support for undergraduate courses at MIT. These brief videos of physics demos display subtle physics concepts ranging from electromagnetism, to kinematics, to optics. {{% resource_link ""441a4270-c7ee-47fd-88b8-28aab48fabd5"" ""Online Publication"" %}}",mit_ocw,b64159ff0983f33b7516e08ef15458b5+RES.8-003,Physics,"[""8""]","[""Science"", ""Physics""]",http://ocw.mit.edu/resources/res-8-003-physics-demonstration-videos-spring-2012,Undergraduate,,
Media Education and the Marketplace,"This instance of ""Media, Education, and the Marketplace"" focuses on the rise of information and communications technologies (ICTs) during the age of globalization, specifically examining its effect and potential in developing nations across the world. In particular, the class will focus on the following three components: * ""Media"" – ICTs, specifically the dramatic rise in use of the Internet over the past twenty years, have ""globalized"" the world and created opportunities where very few have been available in the past. We are entering a phase where an individual can significantly improve his or her own economical, political, and social circumstances with just a computer and Internet connection. This course investigate these profound developments through current research and case studies. * ""Education"" – With projects such as MIT's OpenCourseWare, the major players in the world are beginning to understand the true power of ICTs in development. Throughout this class, we examine projects that harness the benefits of ICTs to create positive social change around the world. * ""Marketplace"" – The focus is on the developing regions of the world. Specifically, the term ""digital divide"" is tossed around in everyday language, but what does it really mean? Is there an international digital divide, a national digital divide, or both? Should we try to bridge this divide, and how have past attempts succeeded and (for the most part) failed? Why? These are all questions that are asked throughout this course. This course has a very unique pedagogy, which is discussed in more detail in the [syllabus](/courses/21g-034-media-education-and-the-marketplace-fall-2005/pages/syllabus) section.",mit_ocw,dcc029d4a2c11a8ba3e73bde7e8d7563+21G.034,Global Studies And Languages,"[""21G""]","[""Fine Arts"", ""English as a Second Language"", ""Business"", ""The Developing World"", ""Humanities"", ""Digital Media"", ""Information Technology"", ""Social Science"", ""Media Studies"", ""Society"", ""Language"", ""Teaching and Education"", ""Communication"", ""Educational Technology""]",http://ocw.mit.edu/courses/global-languages/21g-034-media-education-and-the-marketplace-fall-2005,Undergraduate,business,
Calculus for Beginners and Artists,"This online textbook provides an overview of Calculus in clear, easy to understand language designed for the non-mathematician. {{% resource_link ""8eaad766-95c3-41e5-9258-a522e5ed2696"" ""Online Publication"" %}}",mit_ocw,c6029e4e1e89fc39bd01c90552088973+RES.18-003,Mathematics,"[""18""]","[""Mathematics"", ""Calculus"", ""Differential Equations""]",http://ocw.mit.edu/resources/res-18-003-calculus-for-beginners-and-artists-spring-2005,Undergraduate,,
Cosmic Origin of the Chemical Elements,"Everything around us is made from different chemical elements: carbon, silicon, iron, and all the other elements from the Periodic Table. The lighter elements were mostly produced in the Big Bang, but the rest were (and are) formed within stars and in the explosions of supernovae. In this series of short lecture videos, created to accompany her book _Searching for the Oldest Stars: Ancient Relics from the Early Universe_ (Princeton University Press, 2019), Professor Anna Frebel reveals the secrets of stardust and explains the cosmic origin of the elements.",mit_ocw,c4252847e4e37e9a060e1dfc573489f2+RES.8-007,Physics,"[""8""]","[""Chemistry"", ""Astrophysics"", ""Science"", ""Organic Chemistry"", ""Physics""]",http://ocw.mit.edu/resources/res-8-007-cosmic-origin-of-the-chemical-elements-fall-2019,Undergraduate,,
